Домен;Название;Группа;Приоритет;Комментарий
"avito.ru";"Авито (Услуги и Работа)";"Федеральные площадки";"1";"Главный конкурент во всех нишах сразу: и заказы, и вакансии, и мастера"
"uslugi.yandex.ru";"Яндекс Услуги / Исполнители";"Федеральные площадки";"1";"180 мастеров на час только по Ярославлю, сильные позиции по услугам"
"profi.ru";"Профи.ру";"Федеральные площадки";"1";"Маркетплейс услуг, берёт комиссию с мастеров — наше отличие бесплатность"
"youdo.com";"YouDo";"Федеральные площадки";"1";"Разовые задания, ближайшая модель к нашей"
"yaroslavl.gor-master.ru";"ГорМастер Ярославль";"Локальные службы мастеров";"1";"В топе по сантехнику и электрику, есть страницы под каждую услугу"
"yaroslavl.masterabyta.ru";"Мастера Быта Ярославль";"Локальные службы мастеров";"1";"Прайс-лист муж на час, конкурирует со страницами цен"
"yaroslavl.helpmens.ru";"HelpMens Ярославль";"Локальные службы мастеров";"2";"Муж на час круглосуточно"
"muzhnachas-yaroslavl.ru";"Муж на час Ярославль";"Локальные службы мастеров";"2";"Точное вхождение в домене, топ по своему запросу"
"yarsantehnik.ru";"ЯРсантехник";"Узкие мастера";"2";"Частный сантехник, вызов на дом"
"gruzchiki-yaroslavl.ru";"Грузчики Ярославль";"Узкие мастера";"2";"Топ по грузчикам и переездам"
"yarpereezd.ru";"ЯрПереезд";"Узкие мастера";"2";"Переезды и грузоперевозки"
"hh.ru";"HeadHunter";"Работа и вакансии";"1";"Топ по подработке, раздел вакансий для временной работы"
"gorodrabot.ru";"ГородРабот.ру";"Работа и вакансии";"1";"Агрегатор, 1349 вакансий по разовой подработке в Ярославле"
"rabota.ru";"Работа.ру";"Работа и вакансии";"2";"Раздел подработки, сервис Подработка с оплатой за смену"
"superjob.ru";"SuperJob";"Работа и вакансии";"2";"444 варианта подработки по Ярославлю"
"trudvsem.ru";"Работа России";"Работа и вакансии";"3";"Государственный портал, стабильно в выдаче"
"zarplata.ru";"Зарплата.ру";"Работа и вакансии";"3";"Агрегатор вакансий"
"76.ru";"76.RU — городской портал Ярославля";"Локальные доски";"1";"Раздел объявлений и подработки, поддомен do.76.ru переехал"
"yar.barahla.net";"Барахла.нет Ярославль";"Локальные доски";"3";"Доска объявлений"
"yandex.ru";"Яндекс Смена";"Прочее";"3";"Приложение для подработки, конкурент по вакансиям"
"qlean.ru";"Qlean";"Узкие мастера";"3";"Клининг, конкурент по уборке"
"remontnik.ru";"Ремонтник.ру";"Федеральные площадки";"2";"Заказы на ремонт и отделку"
